title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
APT.,로제 & Bruno Mars,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/95/79/f5/9579f50e-ac47-1e43-acab-d422cbe17a21/mzaf_12002777810095615569.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d8/3c/e4/d83ce45f-3d8c-ba71-aaec-a98e8eeabe7d/075679628138_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/apt/1773917063?i=1773917064&uo=4
Drowning,WOODZ,K-Pop,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/0f/d8/6f/0fd86fd4-67e1-819e-011e-6dfbb35c543f/mzaf_1219313157550046379.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/07/91/0d/07910df6-5ab5-0867-3be5-900cf9d11018/cover_KM0016894_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/drowning/1683448653?i=1683448656&uo=4
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",K-Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4a/9d/a1/4a9da1c4-096f-8f45-4a3b-c883c45ca451/mzaf_3059921854949935161.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/100x100bb.jpg,https://music.apple.com/kr/album/golden/1820264137?i=1820264150&uo=4
404 (New Era),키키,K-Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a8/b6/87/a8b687ed-860d-5da9-f9d5-02dc94e98516/mzaf_17275371173713193127.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1b/43/f5/1b43f5d0-0a3b-d1e1-bc0a-e572e92e0455/199806885123.jpg/100x100bb.jpg,https://music.apple.com/kr/album/404-new-era/1868617345?i=1868617347&uo=4
The Chase,Hearts2Hearts,K-Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9d/7f/fb/9d7ffbed-b702-647e-a591-58700fcb4eb8/mzaf_29771823375578786.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2b/0e/e8/2b0ee80e-eae3-aff6-9ca7-01cf7a830c78/888735951398.png/100x100bb.jpg,https://music.apple.com/kr/album/the-chase/1796402197?i=1796402200&uo=4
TOMBOY,i-dle,K-Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b1/2d/68/b12d68cc-43c0-b624-e436-a37429949e11/mzaf_2502016916124139192.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/04/82/ce0482db-b035-5eed-ee2e-23999b4b2051/cover_KM0014878_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/tomboy/1613139921?i=1613139922&uo=4
거리에서,성시경,K-Pop,2006,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7f/cb/ae/7fcbae10-e463-ca59-2094-81cf875e199e/mzaf_3664734411788512450.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/21/7c/88/217c88ed-80bf-adfa-7cdf-a5c219daf9f7/8809784722939.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B1%B0%EB%A6%AC%EC%97%90%EC%84%9C/1543850903?i=1543850904&uo=4
STYLE,Hearts2Hearts,K-Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7d/a5/22/7da52235-4936-089b-cca7-57b39bd57901/mzaf_16582803519496058674.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/05/f3/0b/05f30b30-22fb-3c21-c497-8fd8829f2004/888735952135.png/100x100bb.jpg,https://music.apple.com/kr/album/style/1819694545?i=1819694546&uo=4
Lucky Girl Syndrome,아일릿,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/22/b7/4e/22b74e6f-8297-bcef-7a97-042fd80fb10e/mzaf_10835128423678862503.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/lucky-girl-syndrome/1734500886?i=1734501146&uo=4
Feel My Rhythm,레드벨벳,K-Pop,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/d9/5b/93/d95b9377-349a-5048-bdec-0a178bdb9ca2/mzaf_377217071686787202.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/bc/ac/99/bcac9968-35ae-0cea-ce08-9eb11600532b/RV_Feel_My_Rhythm-Cover_4000x4000.jpg/100x100bb.jpg,https://music.apple.com/kr/album/feel-my-rhythm/1614179708?i=1614179710&uo=4
Super Shy,뉴진스,K-Pop,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a0/0c/47/a00c4790-3bbe-c669-fc8b-d8779508b512/mzaf_4170831274187670095.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/e5/e2/63e5e2e4-829b-924d-a1dc-8058a1d69bd4/196922462702_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/super-shy/1692686264?i=1692686518&uo=4
RUDE!,Hearts2Hearts,K-Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/3c/36/013c3684-7121-8f9f-6eb5-00b610ac055c/mzaf_16203782190977593201.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/78/b9/fb/78b9fb30-169a-eab0-38e9-8df725f8f2d6/888735954603.png/100x100bb.jpg,https://music.apple.com/kr/album/rude/1875146814?i=1875146815&uo=4
빌려온 고양이 (Do the Dance),아일릿,K-Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1f/e4/ec/1fe4ec8d-0a55-5366-c3f7-47e820329d20/mzaf_901005315216648099.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e4/bc/4d/e4bc4da3-0013-9949-8e54-0eede523f9d4/198704525001_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%B9%8C%EB%A0%A4%EC%98%A8-%EA%B3%A0%EC%96%91%EC%9D%B4-do-the-dance/1817427556?i=1817427565&uo=4
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,K-Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2a/15/77/2a1577ce-2885-d92a-18b2-d6f3ef8f2421/mzaf_1439558567026759296.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5e/fc/0f/5efc0fb0-9c73-8334-3cda-96b92e67409b/cover_KM0020657_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/home-sweet-home-feat-taeyang-daesung/1780757445?i=1780757446&uo=4
