title,genre,year,score,salesPoint,posterUrl
홀리 보이,"공포, 스릴러, 드라마",2025,7.0,96172,https://image.tmdb.org/t/p/w500/wZWBXIsX3QBXf94vzCSUqlZDp57.jpg
쉘터,"액션, 범죄, 스릴러",2026,7.7,95251,https://image.tmdb.org/t/p/w500/tS3UZlVfESO4z8inIZXGiHNgDfE.jpg
악의 색깔: 블랙,"스릴러, 미스터리, 범죄",2026,6.6,95203,https://image.tmdb.org/t/p/w500/kqGS7zqOjMK6LsV6XjKUz5yreYZ.jpg
Haunted 3D: Echoes of the Past,공포,2026,0.0,94062,https://image.tmdb.org/t/p/w500/2JzXsjm4xrbyHaK5VwAYuyMtsEX.jpg
무서운 영화,"코미디, 공포",2026,5.5,90869,https://image.tmdb.org/t/p/w500/reZ8NInXjMkkaOpUHcI3Pn7iaRN.jpg
핑크 플로이드의 벽,"음악, 드라마",1982,7.9,89048,https://image.tmdb.org/t/p/w500/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg
사랑의 형태,로맨스,2024,5.0,88754,https://image.tmdb.org/t/p/w500/vTtq8iqEQlmgDTec9oe3YzjkOGT.jpg
무서운 영화,코미디,2000,6.4,87059,https://image.tmdb.org/t/p/w500/7WgS8qO4KYZxjUQMs0JSFxqcYgn.jpg
1000 Men and Me: The Bonnie Blue Story,"다큐멘터리, TV 영화",2025,5.6,85961,https://image.tmdb.org/t/p/w500/5dcgoyf8nt6Xt4VSR6Nrn6nwhuz.jpg
쇼생크 탈출,"드라마, 범죄",1994,8.7,85018,https://image.tmdb.org/t/p/w500/qV9BQZdiM8foEzDz0Ag5hGWE5qM.jpg
사카린,공포,2026,6.3,81652,https://image.tmdb.org/t/p/w500/wTlqMc4Jt8ZBtHh8CREblU3ajAB.jpg
정점,"액션, 스릴러",2026,6.8,80879,https://image.tmdb.org/t/p/w500/wGHGVAJGTn2BqsuFfPK8lzPiKjH.jpg
고트: 더 레전드,"애니메이션, 코미디, 가족",2026,8.2,75837,https://image.tmdb.org/t/p/w500/otP94vckeMXAgQxzhcRkZSeSmYv.jpg
주토피아 2,"애니메이션, 모험, 코미디, 미스터리, 가족",2025,7.7,73405,https://image.tmdb.org/t/p/w500/ib6v6qUXzez1x2qIOLN7C0yJNPQ.jpg
아앙: 더 라스트 에어벤더,"액션, 모험, 애니메이션, 판타지",2026,0.0,69365,https://image.tmdb.org/t/p/w500/29Jdsak3SrwGds5k1t43kH6Khed.jpg
악마는 프라다를 입는다,"드라마, 코미디",2006,7.4,65710,https://image.tmdb.org/t/p/w500/lxjGbkRnY9d2j8cxIHxX57NNvRH.jpg
표인: 풍기대막,"액션, 드라마, 역사",2026,7.1,70554,https://image.tmdb.org/t/p/w500/ki0ilBYgbOZKUuE1NN53FYWK9zQ.jpg
리얼 스틸,"액션, SF, 드라마",2011,7.1,65372,https://image.tmdb.org/t/p/w500/lbN080kn6nzq978jqsdgxci9llR.jpg
킬링 미션,"액션, 스릴러",2026,5.5,63860,https://image.tmdb.org/t/p/w500/HjapTwwYaWBz4qC2Lg3mKqFlNJ.jpg
두란다르,"액션, 범죄, 스릴러",2025,7.2,67565,https://image.tmdb.org/t/p/w500/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg
인터스텔라,"모험, 드라마, SF",2014,8.5,69930,https://image.tmdb.org/t/p/w500/evoEi8SBSvIIEveM3V6nCJ6vKj8.jpg
L'Adolescente,드라마,1979,4.5,60303,https://image.tmdb.org/t/p/w500/v7yCEzF9BCF82lbp42X5ZLjIieo.jpg
복수,"액션, 스릴러",2026,7.5,60181,https://image.tmdb.org/t/p/w500/26milocWotfItrjwnadk4gyHwyi.jpg
모탈 컴뱃,"액션, 판타지, 모험",2021,7.0,56311,https://image.tmdb.org/t/p/w500/3dTg1pgasstOa0XJTwt3dBFHjFf.jpg
애프터: 관계의 함정,"드라마, 로맨스",2021,7.0,56667,https://image.tmdb.org/t/p/w500/o0PgoBD6jLYId3LYpu9yUY06SLT.jpg
그린랜드 2: 마이그레이션,"모험, 스릴러, SF",2026,6.4,55882,https://image.tmdb.org/t/p/w500/63MYZJKDgg1jg1ISo9QUiE33lrT.jpg
애딕티드,"드라마, 스릴러",2014,5.9,55730,https://image.tmdb.org/t/p/w500/fAERrD6vvmznDoL99wlgjhSfPcH.jpg
Le calde notti di Poppea,코미디,1969,4.7,61903,https://image.tmdb.org/t/p/w500/zNfqugt7ZPFpWeXAQsF5IqDCDft.jpg
너자 2,"애니메이션, 액션, 판타지, 모험",2025,8.2,53698,https://image.tmdb.org/t/p/w500/tc3wdEEov3SdMja9ZkBiAZ6fBGV.jpg
무서운 영화 5,코미디,2013,4.8,51746,https://image.tmdb.org/t/p/w500/f8Ms3vhJ1ANVtUmQUW4uZlLqKWH.jpg
스크림 7,"공포, 미스터리, 범죄",2026,6.2,54294,https://image.tmdb.org/t/p/w500/gqgBqxyr8tGQGJCFrRWAzfA7Cml.jpg
프레데터: 죽음의 땅,"액션, SF, 모험",2025,7.8,51762,https://image.tmdb.org/t/p/w500/8lpCbwbYh9SSzCFsHDndZHKrcD4.jpg
마라마: 달의 복수,"공포, 드라마, 미스터리",2026,6.4,51586,https://image.tmdb.org/t/p/w500/tD9yi1i2t6cgXDrqaBRzjUy7bEX.jpg
우주전쟁,"SF, 스릴러",2025,4.1,55023,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg
더 드라마,"로맨스, 코미디, 드라마",2026,7.0,54559,https://image.tmdb.org/t/p/w500/qhGCY6DIemLoCi7x1GuEt98m4JF.jpg
비스트,"액션, 드라마",2026,6.4,54190,https://image.tmdb.org/t/p/w500/7NrvUI3vnW8H3rD7ExKcTL7KRcQ.jpg
토이 스토리,"가족, 코미디, 애니메이션, 모험",1995,8.0,53739,https://image.tmdb.org/t/p/w500/iJbm78MxPjLutWUYixbeege8EVe.jpg
어벤져스: 인피니티 워,"모험, 액션, SF",2018,8.2,52711,https://image.tmdb.org/t/p/w500/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg
