title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
REDRED,코르티스,Synth Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b9/a9/23/b9a92352-f4a2-fd4e-c2de-4985bc38133c/mzaf_7598194542973128311.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/redred/1887671065?i=1887671067&uo=4
Supernova,aespa,EDM / Dance Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cb/a5/34/cba5340f-feac-7e85-0d62-c687a5da7524/mzaf_5508662312740645025.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/2b/9b/4e/2b9b4ef2-85f3-1880-934f-9a45f8480cfb/888735947483.png/100x100bb.jpg,https://music.apple.com/kr/album/supernova/1745281747?i=1745281749&uo=4
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",Pop Soundtrack,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4a/9d/a1/4a9da1c4-096f-8f45-4a3b-c883c45ca451/mzaf_3059921854949935161.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/100x100bb.jpg,https://music.apple.com/kr/album/golden/1820264137?i=1820264150&uo=4
toxic till the end,로제,Pop Rock,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6f/bd/d8/6fbdd87e-c958-74d6-3215-633bcc550654/mzaf_17183830555505448544.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/4d/cb/54/4dcb5453-7493-cd68-81f8-fc7ae28101ce/8800287299416_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/toxic-till-the-end/1783280221?i=1783280225&uo=4
404 (New Era),키키,Dance Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a8/b6/87/a8b687ed-860d-5da9-f9d5-02dc94e98516/mzaf_17275371173713193127.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1b/43/f5/1b43f5d0-0a3b-d1e1-bc0a-e572e92e0455/199806885123.jpg/100x100bb.jpg,https://music.apple.com/kr/album/404-new-era/1868617345?i=1868617347&uo=4
거리에서,성시경,K-Ballad,2006,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7f/cb/ae/7fcbae10-e463-ca59-2094-81cf875e199e/mzaf_3664734411788512450.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/21/7c/88/217c88ed-80bf-adfa-7cdf-a5c219daf9f7/8809784722939.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B1%B0%EB%A6%AC%EC%97%90%EC%84%9C/1543850903?i=1543850904&uo=4
The Chase,Hearts2Hearts,Dance Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9d/7f/fb/9d7ffbed-b702-647e-a591-58700fcb4eb8/mzaf_29771823375578786.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2b/0e/e8/2b0ee80e-eae3-aff6-9ca7-01cf7a830c78/888735951398.png/100x100bb.jpg,https://music.apple.com/kr/album/the-chase/1796402197?i=1796402200&uo=4
TOMBOY,i-dle,Pop Rock,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b1/2d/68/b12d68cc-43c0-b624-e436-a37429949e11/mzaf_2502016916124139192.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/04/82/ce0482db-b035-5eed-ee2e-23999b4b2051/cover_KM0014878_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/tomboy/1613139921?i=1613139922&uo=4
STYLE,Hearts2Hearts,Dance Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7d/a5/22/7da52235-4936-089b-cca7-57b39bd57901/mzaf_16582803519496058674.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/05/f3/0b/05f30b30-22fb-3c21-c497-8fd8829f2004/888735952135.png/100x100bb.jpg,https://music.apple.com/kr/album/style/1819694545?i=1819694546&uo=4
Lucky Girl Syndrome,아일릿,Synth Pop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/22/b7/4e/22b74e6f-8297-bcef-7a97-042fd80fb10e/mzaf_10835128423678862503.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/lucky-girl-syndrome/1734500886?i=1734501146&uo=4
