"coverUrl","title","artist","year","score","category","genre","salesPoint"
"https://image.aladin.co.kr/product/38933/28/cover500/k632137911_1.jpg","제미나이 주식투자 - 이 주식 살까, 말까? 제미나이로 시작하는 우상향 주식투자","조성호 (지은이)","2026","5.0","book","경제/경영","29090"
"https://image.aladin.co.kr/product/38331/50/cover500/k192034444_1.jpg","돈의 심리학 (50만 부 기념 뉴 에디션) - 당신은 왜 부자가 되지 못했는가 (보너스 스토리 수록)","모건 하우절 (지은이), 이지연 (옮긴이)","2021","4.5","book","경제/경영","44255"
"https://image.aladin.co.kr/product/38931/87/cover500/k032137816_1.jpg","AI, 신의 탄생 인간의 종말 - 초지능의 탄생, 그 이후 벌어질 일들","엘리에저 유드코스키, 네이트 소아레스 (지은이), 고영훈 (옮긴이)","2026","5.0","book","경제/경영","27140"
"https://image.aladin.co.kr/product/39137/12/cover500/k932137655_1.jpg","AI 이후의 미래 어떻게 될 것인가 - AI 시대, 부와 권력이 재편되기 시작했다","제이슨 솅커 (지은이), 김익성 (옮긴이)","2026","5.0","book","경제/경영","14530"
"https://image.aladin.co.kr/product/39244/31/cover500/k912138107_2.jpg","염승환의 ETF 완전 정복","염승환 (지은이)","2026","5.0","book","경제/경영","14690"
"https://image.aladin.co.kr/product/37968/56/cover500/k712034767_1.jpg","진보를 위한 주식투자 - 광수네 복덕방, 모두의 투자 이야기","이광수 (지은이)","2025","3.5","book","경제/경영","105331"
"https://image.aladin.co.kr/product/39381/10/cover500/k912139872_1.jpg","조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프 - 기획부터 엑시트까지 코드 한 줄 없이 글로벌 매출을 만드는 1인 프로덕트 빌더 풀코스","조동근(조코딩) (지은이)","2026","0.0","book","경제/경영","5600"
"https://image.aladin.co.kr/product/39349/89/cover500/k332138530_1.jpg","천만 원으로 시작해 매달 500만 원 받는 ETF 월배당머신 - AI 시대에도 살아남는 배당 ETF 실전 투자","평온, 김지형 (지은이)","2026","5.0","book","경제/경영","8420"
"https://image.aladin.co.kr/product/38473/56/cover500/k792135013_1.jpg","주식투자 무작정 따라하기 - 2026년 최신개정판","윤재수 (지은이)","2026","4.5","book","경제/경영","28424"
"https://image.aladin.co.kr/product/39169/70/cover500/k232138162_1.jpg","연금 투자 무작정 따라하기 - 연금의 기초부터 ISA·IRP 투자 전략까지 한 권에","김성일 (지은이)","2026","5.0","book","경제/경영","10240"
"https://image.aladin.co.kr/product/38325/60/cover500/k952034340_2.jpg","돈의 방정식 - 돈을 지위와 성공의 기준, 그 이상으로 다루기 위한 21가지 이야기","모건 하우절 (지은이), 박영준 (옮긴이)","2026","4.5","book","경제/경영","79769"
"https://image.aladin.co.kr/product/37615/58/cover500/k402032746_1.jpg","누구나 투자로 부자가 될 수 있다 - AI 시대, ETF 투자 전략","배재규 (지은이)","2025","5.0","book","경제/경영","13668"
"https://image.aladin.co.kr/product/39130/60/cover500/k212137552_1.jpg","차이나 반도체 라이징 - 중국 첨단 지능화의 허와 실, 그리고 한국의 대응 전략","권석준 (지은이)","2026","5.0","book","경제/경영","8685"
"https://image.aladin.co.kr/product/35910/69/cover500/k412037592_3.jpg","돈의 속성 (400쇄 리커버 에디션)","김승호 (지은이)","2020","4.5","book","경제/경영","96329"
"https://image.aladin.co.kr/product/39223/14/cover500/k642138983_1.jpg","누구나 오를 종목을 찾는 급등의 법칙 - 대세 상승장에 올라타는 최소한의 주식 공부","이상민(수익맨) (지은이)","2026","5.0","book","경제/경영","19740"
